Quelle:;"Bayerisches Landesamt für Umwelt, www.gkd.bayern.de"
Datenbankabfrage:;"18.04.2024 19:09"
Zeitbezug:;MEZ
Messstellen-Name:;Hirschbach
Messstellen-Nr.:;15214604
Gewässer:;"Kleiner Regen"
Ostwert:;819642;Nordwert:;5437482;"ETRS89 / UTM Zone 32N"
Pegelnullpunktshöhe:;"814,82 m NHN (DHHN2016)"

"Tageswerte Abfluss [m³/s]"
Datum;Mittelwert;Maximum;Minimum;Prüfstatus
2019-01-01;0,33;0,437;0,245;Geprueft
2019-01-02;0,303;0,391;0,259;Geprueft
2019-01-03;0,245;0,259;0,238;Geprueft
2019-01-04;0,236;0,239;0,235;Geprueft
2019-01-05;0,236;0,24;0,232;Geprueft
2019-01-06;0,23;0,233;0,228;Geprueft
2019-01-07;0,229;0,232;0,227;Geprueft
2019-01-08;0,231;0,236;0,222;Geprueft
2019-01-09;0,239;0,244;0,228;Geprueft
2019-01-10;0,229;0,236;0,221;Geprueft
2019-01-11;0,22;0,222;0,218;Geprueft
2019-01-12;0,22;0,225;0,217;Geprueft
2019-01-13;0,222;0,23;0,216;Geprueft
2019-01-14;0,222;0,233;0,213;Geprueft
2019-01-15;0,213;0,216;0,211;Geprueft
2019-01-16;0,213;0,213;0,212;Geprueft
2019-01-17;0,212;0,213;0,212;Geprueft
2019-01-18;0,208;0,213;0,205;Geprueft
2019-01-19;0,205;0,214;0,199;Geprueft
2019-01-20;0,201;0,21;0,187;Geprueft
2019-01-21;0,202;0,204;0,2;Geprueft
2019-01-22;0,201;0,204;0,2;Geprueft
2019-01-23;0,203;0,212;0,198;Geprueft
2019-01-24;0,199;0,2;0,198;Geprueft
2019-01-25;0,198;0,2;0,196;Geprueft
2019-01-26;0,199;0,2;0,197;Geprueft
2019-01-27;0,2;0,2;0,199;Geprueft
2019-01-28;0,197;0,2;0,194;Geprueft
2019-01-29;0,195;0,2;0,193;Geprueft
2019-01-30;0,193;0,194;0,193;Geprueft
2019-01-31;0,193;0,196;0,193;Geprueft
2019-02-01;0,194;0,196;0,192;Geprueft
2019-02-02;0,206;0,209;0,195;Geprueft
2019-02-03;0,199;0,204;0,193;Geprueft
2019-02-04;0,193;0,193;0,192;Geprueft
2019-02-05;0,192;0,193;0,191;Geprueft
2019-02-06;0,191;0,192;0,189;Geprueft
2019-02-07;0,191;0,195;0,189;Geprueft
2019-02-08;0,189;0,193;0,187;Geprueft
2019-02-09;0,189;0,192;0,187;Geprueft
2019-02-10;0,193;0,205;0,19;Geprueft
2019-02-11;0,203;0,21;0,192;Geprueft
2019-02-12;0,193;0,196;0,192;Geprueft
2019-02-13;0,188;0,192;0,185;Geprueft
2019-02-14;0,185;0,185;0,184;Geprueft
2019-02-15;0,185;0,188;0,184;Geprueft
2019-02-16;0,186;0,189;0,185;Geprueft
2019-02-17;0,188;0,194;0,186;Geprueft
2019-02-18;0,192;0,195;0,19;Geprueft
2019-02-19;0,193;0,193;0,191;Geprueft
2019-02-20;0,193;0,194;0,191;Geprueft
2019-02-21;0,191;0,193;0,189;Geprueft
2019-02-22;0,273;0,374;0,192;Geprueft
2019-02-23;0,242;0,325;0,21;Geprueft
2019-02-24;0,202;0,21;0,195;Geprueft
2019-02-25;0,199;0,21;0,195;Geprueft
2019-02-26;0,208;0,211;0,204;Geprueft
2019-02-27;0,21;0,219;0,205;Geprueft
2019-02-28;0,229;0,295;0,213;Geprueft
2019-03-01;0,453;0,762;0,295;Geprueft
2019-03-02;0,681;0,817;0,472;Geprueft
2019-03-03;0,554;0,668;0,442;Geprueft
2019-03-04;0,643;0,716;0,594;Geprueft
2019-03-05;0,482;0,661;0,361;Geprueft
2019-03-06;0,317;0,361;0,299;Geprueft
2019-03-07;0,404;0,628;0,316;Geprueft
2019-03-08;0,53;0,634;0,428;Geprueft
2019-03-09;0,4;0,47;0,379;Geprueft
2019-03-10;1,53;2,99;0,47;Geprueft
2019-03-11;1,03;1,99;0,692;Geprueft
2019-03-12;0,556;0,692;0,443;Geprueft
2019-03-13;0,399;0,443;0,368;Geprueft
2019-03-14;0,356;0,371;0,346;Geprueft
2019-03-15;0,554;2,62;0,325;Geprueft
2019-03-16;6,89;9,25;2,62;Geprueft
2019-03-17;2,65;4,51;2,02;Geprueft
2019-03-18;1,55;2,19;1,16;Geprueft
2019-03-19;0,99;1,16;0,901;Geprueft
2019-03-20;0,88;0,91;0,857;Geprueft
2019-03-21;0,859;0,909;0,831;Geprueft
2019-03-22;0,991;1,29;0,856;Geprueft
2019-03-23;1,21;1,55;0,982;Geprueft
2019-03-24;1,38;1,75;1,12;Geprueft
2019-03-25;1,27;1,57;1,06;Geprueft
2019-03-26;0,948;1,06;0,888;Geprueft
2019-03-27;0,854;0,888;0,828;Geprueft
2019-03-28;0,827;0,905;0,795;Geprueft
2019-03-29;1,06;1,38;0,905;Geprueft
2019-03-30;1,19;1,44;0,987;Geprueft
2019-03-31;1,31;1,64;1,05;Geprueft
2019-04-01;1,56;2,05;1,29;Geprueft
2019-04-02;1,62;2,05;1,33;Geprueft
2019-04-03;1,92;2,78;1,45;Geprueft
2019-04-04;2,37;3,6;1,64;Geprueft
2019-04-05;2,32;2,94;1,69;Geprueft
2019-04-06;2,54;3,74;1,76;Geprueft
2019-04-07;1,89;2,89;1,59;Geprueft
2019-04-08;1,94;2,92;1,38;Geprueft
2019-04-09;2,36;3,03;1,79;Geprueft
2019-04-10;1,99;2,47;1,64;Geprueft
2019-04-11;1,55;2,07;1,34;Geprueft
2019-04-12;1,13;1,34;1,02;Geprueft
2019-04-13;0,868;1,02;0,773;Geprueft
2019-04-14;0,678;0,773;0,628;Geprueft
2019-04-15;0,677;0,86;0,564;Geprueft
2019-04-16;0,755;0,921;0,622;Geprueft
2019-04-17;0,797;0,976;0,647;Geprueft
2019-04-18;0,944;1,33;0,708;Geprueft
2019-04-19;1,15;1,62;0,858;Geprueft
2019-04-20;1,07;1,29;0,857;Geprueft
2019-04-21;0,992;1,19;0,815;Geprueft
2019-04-22;1,01;1,27;0,806;Geprueft
2019-04-23;1,11;1,42;0,882;Geprueft
2019-04-24;1,25;1,77;0,945;Geprueft
2019-04-25;1,11;1,39;0,926;Geprueft
2019-04-26;0,951;1,11;0,845;Geprueft
2019-04-27;0,966;1,04;0,897;Geprueft
2019-04-28;0,751;0,915;0,635;Geprueft
2019-04-29;0,603;0,635;0,561;Geprueft
2019-04-30;0,676;0,731;0,61;Geprueft
2019-05-01;0,59;0,674;0,551;Geprueft
2019-05-02;0,547;0,608;0,505;Geprueft
2019-05-03;0,774;0,939;0,584;Geprueft
2019-05-04;0,658;0,76;0,55;Geprueft
2019-05-05;0,523;0,665;0,449;Geprueft
2019-05-06;0,412;0,449;0,39;Geprueft
2019-05-07;0,375;0,39;0,365;Geprueft
2019-05-08;0,36;0,368;0,349;Geprueft
2019-05-09;0,433;0,542;0,368;Geprueft
2019-05-10;0,572;0,656;0,483;Geprueft
2019-05-11;0,486;0,635;0,422;Geprueft
2019-05-12;0,522;0,635;0,442;Geprueft
2019-05-13;0,378;0,442;0,342;Geprueft
2019-05-14;0,406;0,45;0,333;Geprueft
2019-05-15;0,433;0,446;0,425;Geprueft
2019-05-16;0,459;0,524;0,425;Geprueft
2019-05-17;0,452;0,519;0,412;Geprueft
2019-05-18;0,392;0,416;0,382;Geprueft
2019-05-19;0,609;1,32;0,372;Geprueft
2019-05-20;0,743;0,93;0,606;Geprueft
2019-05-21;0,885;1,09;0,664;Geprueft
2019-05-22;0,803;0,976;0,712;Geprueft
2019-05-23;0,575;0,712;0,482;Geprueft
2019-05-24;0,446;0,482;0,422;Geprueft
2019-05-25;0,403;0,422;0,384;Geprueft
2019-05-26;0,384;0,391;0,376;Geprueft
2019-05-27;0,43;0,862;0,373;Geprueft
2019-05-28;0,838;0,953;0,739;Geprueft
2019-05-29;0,68;0,811;0,571;Geprueft
2019-05-30;0,485;0,571;0,421;Geprueft
2019-05-31;0,408;0,421;0,4;Geprueft
2019-06-01;0,39;0,4;0,38;Geprueft
2019-06-02;0,382;0,412;0,369;Geprueft
2019-06-03;0,383;0,426;0,367;Geprueft
2019-06-04;0,526;0,879;0,369;Geprueft
2019-06-05;0,41;0,535;0,36;Geprueft
2019-06-06;0,359;0,51;0,328;Geprueft
2019-06-07;0,441;0,575;0,364;Geprueft
2019-06-08;0,319;0,367;0,258;Geprueft
2019-06-09;0,252;0,264;0,238;Geprueft
2019-06-10;0,261;0,463;0,227;Geprueft
2019-06-11;0,371;0,467;0,258;Geprueft
2019-06-12;0,236;0,258;0,219;Geprueft
2019-06-13;0,22;0,226;0,213;Geprueft
2019-06-14;0,212;0,229;0,206;Geprueft
2019-06-15;0,21;0,221;0,205;Geprueft
2019-06-16;0,331;0,452;0,208;Geprueft
2019-06-17;0,211;0,244;0,189;Geprueft
2019-06-18;0,179;0,189;0,172;Geprueft
2019-06-19;0,174;0,177;0,17;Geprueft
2019-06-20;0,173;0,176;0,17;Geprueft
2019-06-21;0,173;0,176;0,17;Geprueft
2019-06-22;0,174;0,196;0,17;Geprueft
2019-06-23;0,187;0,209;0,177;Geprueft
2019-06-24;0,175;0,18;0,171;Geprueft
2019-06-25;0,171;0,176;0,166;Geprueft
2019-06-26;0,169;0,173;0,165;Geprueft
2019-06-27;0,169;0,173;0,166;Geprueft
2019-06-28;0,169;0,172;0,166;Geprueft
2019-06-29;0,168;0,172;0,166;Geprueft
2019-06-30;0,168;0,171;0,165;Geprueft
2019-07-01;0,167;0,17;0,164;Geprueft
2019-07-02;0,17;0,177;0,166;Geprueft
2019-07-03;0,164;0,169;0,16;Geprueft
2019-07-04;0,162;0,165;0,159;Geprueft
2019-07-05;0,161;0,164;0,157;Geprueft
2019-07-06;0,16;0,163;0,154;Geprueft
2019-07-07;0,162;0,164;0,158;Geprueft
2019-07-08;0,16;0,164;0,155;Geprueft
2019-07-09;0,156;0,159;0,153;Geprueft
2019-07-10;0,155;0,159;0,151;Geprueft
2019-07-11;0,155;0,157;0,152;Geprueft
2019-07-12;0,164;0,19;0,155;Geprueft
2019-07-13;0,293;0,335;0,19;Geprueft
2019-07-14;0,192;0,213;0,183;Geprueft
2019-07-15;0,171;0,183;0,161;Geprueft
2019-07-16;0,157;0,161;0,151;Geprueft
2019-07-17;0,15;0,153;0,145;Geprueft
2019-07-18;0,146;0,149;0,141;Geprueft
2019-07-19;0,145;0,148;0,141;Geprueft
2019-07-20;0,14;0,144;0,135;Geprueft
2019-07-21;0,15;0,163;0,138;Geprueft
2019-07-22;0,144;0,15;0,137;Geprueft
2019-07-23;0,136;0,141;0,131;Geprueft
2019-07-24;0,131;0,136;0,126;Geprueft
2019-07-25;0,127;0,134;0,121;Geprueft
2019-07-26;0,124;0,129;0,119;Geprueft
2019-07-27;0,134;0,147;0,122;Geprueft
2019-07-28;0,131;0,136;0,127;Geprueft
2019-07-29;0,134;0,143;0,127;Geprueft
2019-07-30;0,132;0,135;0,131;Geprueft
2019-07-31;0,141;0,15;0,133;Geprueft
2019-08-01;0,161;0,172;0,148;Geprueft
2019-08-02;0,162;0,171;0,159;Geprueft
2019-08-03;0,183;0,194;0,171;Geprueft
2019-08-04;0,191;0,2;0,185;Geprueft
2019-08-05;0,194;0,198;0,189;Geprueft
2019-08-06;0,285;0,532;0,198;Geprueft
2019-08-07;0,301;0,494;0,268;Geprueft
2019-08-08;0,27;0,293;0,254;Geprueft
2019-08-09;0,248;0,255;0,238;Geprueft
2019-08-10;0,294;0,368;0,238;Geprueft
2019-08-11;0,299;0,342;0,275;Geprueft
2019-08-12;0,315;0,652;0,275;Geprueft
2019-08-13;0,516;0,78;0,322;Geprueft
2019-08-14;0,295;0,326;0,278;Geprueft
2019-08-15;0,263;0,278;0,246;Geprueft
2019-08-16;0,247;0,252;0,245;Geprueft
2019-08-17;0,236;0,246;0,227;Geprueft
2019-08-18;0,223;0,232;0,211;Geprueft
2019-08-19;0,219;0,223;0,214;Geprueft
2019-08-20;0,273;0,644;0,217;Geprueft
2019-08-21;0,554;0,727;0,333;Geprueft
2019-08-22;0,291;0,333;0,255;Geprueft
2019-08-23;0,242;0,255;0,227;Geprueft
2019-08-24;0,311;0,619;0,219;Geprueft
2019-08-25;0,288;0,349;0,259;Geprueft
2019-08-26;0,257;0,273;0,247;Geprueft
2019-08-27;0,234;0,259;0,221;Geprueft
